Model,ROC-AUC,PR-AUC,Precision,Recall,F1,TP,FP,FN,TN
M1: Base Physicals,0.6528882055787393,0.05683702651713932,0.0,0.0,0.0,0,27,29,758
M2: M1 + Momentum,0.7036239841862509,0.07786598204372033,0.09090909090909091,0.06896551724137931,0.0784313725490196,2,20,27,765
M3: M2 + Tactical,0.6491544036898749,0.07042818459094569,0.14285714285714285,0.10344827586206896,0.12,3,18,26,767
M4: Full Ensemble (Bagging),0.6611025697342412,0.05462253483122235,0.06951871657754011,0.4482758620689655,0.12037037037037036,13,174,16,611
Ablation: Only 3 Tactical Features,0.40830221831759284,0.029304394696024166,0.012121212121212121,0.06896551724137931,0.020618556701030927,2,163,27,622
